,Title,Description,Type,Geography,Geography Code,Frameworks,Keywords,Events
144,Law 57-07 on Renewable Energy (supported by the 2008 Renewable Energy Regulation No. 202-08),"The law was developed in recognition of the potential that renewable energy and fuels offer to boost development. It constitutes the main regulatory framework for a range of renewable energy production, from producing ethanol to the exploitation of tidal energy.<br />
<br />
The objectives of the Law include:<br />
â€¢ To diversify energy supply<br />
â€¢ To reduce dependency on fossil fuel imports<br />
â€¢ To promote private investment<br />
â€¢ To mitigate the environmental impacts of fossil fuels<br />
â€¢ To contribute to decentralisation of power and biofuel production; and increase competition between providers<br />
<br />
The Law sets out tax exemptions and incentives for investors in renewable energy production projects. This constitutes a 100% customs tax exemption and a 10 year income tax exemption. For self-producers (e.g. domestic) a credit of up to 75% on capital costs is provided against income tax. There are also provisions for community projects.<br />
<br />
This includes, but is not limited to, small hydro-electric installations with capacity of not more than 5MW; wind parks with capacity of not more than 50MW; and electric and solar installations of any type and power levels.<br />
<br />
There are special rules for production of bioethanol, biodiesel and any other synthetic renewable fuel. Specifically, the Law provides for a 10-year exemption on income tax, duties, contributions and any other taxed from the beginning of operations for companies.",legislative,Dominican Republic,DOM,No,Energy Supply,07/05/2007 | Law passed
145,Law 125-01: General electricity law,"This Law establishes a tax on electricity production from fossil fuels. The tax 'is specifically allocated to be spent on programmes and projects for the development of renewable sources of energy at a national level, and for national energy efficiency programmes.",legislative,Dominican Republic,DOM,Mitigation,Energy Supply,26/07/2001 | Law passed
146,Law 112-00: Law on hydrocarbons,"<div>A fund has been established from tax on fossil fuel and petroleum derivatives, beginning in 2005.The tax is specifically allocated to be spent on programmes and projects for the development of renewable sources of energy at a national level, and for national energy efficiency programmes.</div>",legislative,Dominican Republic,DOM,Mitigation and adaptation,Energy Supply,29/11/2000 | Law passed |  | 
147,Ministerial Accord No. 089 on Regulation for NAMAs,The Decree establishes the National Authority for Implementation of Nationally Appropriate Mitigation Actions (NAMAs) developed in co-ordination with the UNDP. This Authority is chaired by the Minister of Environment while the Undersecretary of Climate Change is in charge of implementing the registry. The NAMA registration is compulsory and is part of the National Environment Information System.,executive,Ecuador,ECU,Mitigation,Institutions / Administrative Arrangements,10/09/2013 | Law passed
148,National Plan for Well Living (2013-2017),"<div>The National Plan for Good Living (2013-2017) sets out to ensure sustainable management of Ecuador's resources and biodiversity, and develop strategies for the mitigation of and adaptation to climate change (Objective 7). This plan aims to implement the Constitution, which remarkably defines nature as a rights-bearing entity, which 'has the right to exist, persist, maintain and regenerate its vital cycles, structure, functions and its evolutionary processes.'<br>&nbsp;The Plan proposes several strategic policies and guidelines for sustainable development, including:<br>Guarantee the promotion and respect of rights of the nature<br>Improve the sustainable management of forests<br>Promote energy efficiency and development of renewable energies to reduce emissions<br>Promote sustainable, rational and efficient consumption patterns<br>Implement measures for climate change mitigation and adaptation to reduce the vulnerability of the economy and environment, especially concerning groups with special needs<br>&nbsp;Consolidate the YasunÃ­-ITT initiative and use international mechanisms to keep the crude oil in the ground<br>&nbsp;It further sets a number of goals to be reached by 2017, including:&nbsp;Increase the share of territory under specific conservation scheme to 35.9% (30.5% in 2012)<br>Increase the area dedicated to reforestation to 300,000 ha (46,185 ha in 2012)<br>Develop and use 60% of the renewable energy potential of Ecuador (43.1% in 2012)<br>Reach 76% national energy independence (71.1% in 2011).</div>",executive,Ecuador,ECU,,"Redd+ And Lulucf, Energy Supply, Energy Demand, Adaptation",17/02/2013 | Law passed |  | 
149,Ministerial Accord No. 33 on REDD,The Ministerial Accord sets out the regulations for the implementation of the REDDmechanism in Ecuador.,executive,Ecuador,ECU,,Redd+ And Lulucf,18/06/2013 | Law passed
150,Programme RENOVA (Executive Decree No. 676; Executive Decree No. 741),"<div>Programme RENOVA is one of the projects aiming to reduce energy consumption and increase energy efficiency in Ecuador. RENOVA concerns the transport and equipment sectors and aims to assist replacement of more than 300,000 inefficient refrigerators and more than 20,000 inefficient vehicles by 2015. The replacement of inefficient vehicles is mainly supported through exoneration from import tax for vehicles respecting quality and efficiency standards. The replacement of inefficient refrigerators concerns residential consumers whose electricity consumption does not exceed 200 kWh/month (around 83% of all the users). Through Programme RENOVA the Government distributes efficient refrigerators to eligible consumers that fulfil the following requirements:<br>&nbsp;1.Fill in the application form;<br>&nbsp;2. Have an electricity connection with a meter registered at their own name;<br>&nbsp;3.Have paid the bills over the past 12 consecutive months;<br>&nbsp;4. Their monthly consumption does not exceed 200 kWh/month;<br>&nbsp;5.Own a refrigerator older than 10 years that is still working;<br>&nbsp;6. Have correctly installed electrical installations that are in good condition.</div>",executive,Ecuador,ECU,,Energy Demand,14/05/2012 | Law passed |  | 
151,Biodiesel mandate (Executive Decree No. 1303),"The Decree introduces a 5% biodiesel mandate for the Diesel Premium used in the automotive sector, to be progressively increased until 10%.",executive,Ecuador,ECU,,Transportation,17/09/2012 | Law passed
152,Executive Decree No.004/11 on Feed-in Tariff for non-conventional renewable energy sources,"The Decree re-introduced a Feed-in Tariff (FiT) for non-conventional renewable energy sources (PV, wind, solar thermal, biogas, geothermal) with a capacity below 50MW. PV-technology receives the highest tariff (USD0.40/kWh on the continent, USD0.44/kWh on the Galapagos Islands), valid for 15 years. These tariffs are reserved only for non-conventional renewable energy projects selected by the government and that will together supply a maximum capacity of 6% of the national installed on-grid capacity.",executive,Ecuador,ECU,,Energy Supply,14/10/2011 | Law passed
153,Executive Decree No. 495 on the creation of an Inter-Institutional Committee on Climate Change,"This Decree provides for the co-ordination of climate change policies and actions via the creation of an Inter-institutional Committee on Climate Change. It is aimed at co-ordinators from Ministries and Secretariats that handle this inter-sectoral approach. Members are: National Secretariat of State Planning and Development; Ministry of Foreign Affairs; Secretariat of Higher Education, Science; Technology and Innovation; Co-ordinating Ministry of Production, Employment and Competitiveness; Co-ordinating Ministry of Strategic Sectors; Co-ordinating Ministry of Economic Policy; National Secretariat of Risk Management; National Secretariat of Water Resources; Ministry of Environment.<br />
<br />
The role of the Committee include:<br />
â€¢Co-ordinate integration of climate change policies into national institutions<br />
â€¢Promote research into development and adjustment policies<br />
â€¢Promote adaptation and mitigation in public investment projects<br />
â€¢Consult specific working groups<br />
â€¢Promote training and technical assistance in adaptation and mitigation<br />
â€¢Enhance international cooperation and international technical assistance<br />
â€¢Define negotiating positions for international delegations<br />
â€¢Co-ordinate the development of reports and policies for the international arena (e.g. UNFCCC)",executive,Ecuador,ECU,No,Institutions / Administrative Arrangements,20/10/2010 | Law passed
154,National Strategy on Climate Change (Ministerial Accord No. 095),"The Executive Decree no 1815 resulted in adoption of the National Strategy on Climate Change 2012-2025 in July 2012.

The strategy is based on several guiding principles, including: Regional and international co-operation; Consistency with international principles; Priority to local implementation; Environmental integrity; Citizen participation; Protection of vulnerable groups and ecosystems; and Inter-generational responsibility.

The strategy further contains two main strategy directions (mitigation and adaptation) and 15 specific objectives for 2017 and 2025. The objectives for adaptation include:
â€¢ Implement measures to guarantee food security under climate change impacts
â€¢ Secure economic yields and infrastructure against climate change impacts
â€¢ Implement measures to protect human health under climate change impacts
â€¢ Improve water management to ensure water availability and its sustainable use
â€¢ Conserve natural resources and ecosystems to enhance their capacity to respond to climate change
â€¢ Assist vulnerable groups with adaptation to climate change
â€¢ Improve disaster management at the public and private levels
â€¢ Increase the capacity of human settlements to face climate change impacts

The objectives for mitigation include:
â€¢ Identify and integrate appropriate mitigation practices in agriculture and fisheries sectors
â€¢ Implement measures to protect, enhance and sustainably manage ecosystems with carbon sequestration capacity
â€¢ Strengthen measures promoting energy efficiency and savings, as well as transformation of country's energy mix towards greater share of renewable energy sources
â€¢ Promote sustainable practices that help to reduce GHG emissions from services and industry production, over the lifetime of products
â€¢ Lead transformation of the economy towards more efficient energy and natural resources use and renewable resources use to reduce GHG emissions.",executive,Ecuador,ECU,,"Redd+ And Lulucf, Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Adaptation",25/12/2012 | Law passed
155,Egypt's National Strategy for Adaptation to Climate Change and Disaster Risk Management,"The overarching goal of this Strategy is to increase Egypt's flexibility in dealing with climate change risks and disasters as well as the Egyptian Community's 'ability to absorb, contain, and reduce such risks and disasters' across different sectors.<br />
<br />
The Strategy evaluates the current situation and risks across key sectors, in particular the intersection of coastal zones with water resources and irrigation, agriculture, health, urban areas, housing, roads, and tourism. It recommends (i) the integration of sector specific adaptation plans with each five-year plan and national development programmes; (ii) enhancing community participation and building a 'Safety First' culture; (iii) promoting regional and international co-operation; and (iv) engaging in continuous monitoring of progress.<br />
<br />
The Strategy identifies seven determinants of success in adapting to climate change risks: (i) political will at all levels, (ii) availability of human, financial, and natural resources, (iii) reform and adjustments of institutional frameworks, (iv) amendments to legislation and laws, (v) strengthening the National Information Exchange System, (vi) identification and monitoring, assessment, and follow-up of performance indicators, and (vii) development of a national model for social and economic analysis and projections.<br />
<br />
The specific framework for adaptation outlined in this Strategy is divided into four phases of execution consisting of four five-year plans. Key proposed operational measures for the first five-year plan include: developing a GIS monitoring database on coastal zones, developing a Regional Climate Model (RCM), studying the effectiveness of natural protection systems such as dunes, formulating national legislation to enable climate change risk reduction, developing additional regulations for coastal development, and enhancing partnerships between the public and private sector.<br />
<br />
Further outlines total estimated investment costs over 20 years by sector and specific operational measure. The total estimated cost across all sectors is calculated to be EGP53.07bn (USD7.4bn).",executive,Egypt,EGY,No,"Institutions / Administrative Arrangements, Adaptation",01/12/2011 | Law passed
156,New National Renewable Energy Strategy,"Establishes a target of generating 20% of electricity from renewable sources by 2020, 12% of which (or 7,200MW) will be generated by wind farms.<br />
<br />
Outlines two methods of achieving these ambitious targets: (1) 1/3 of the installed capacity, or 2,400MW, will be publicly funded and implemented by the New and Renewable Energy Authority, and (2) 2/3 of the installed capacity, or 4,800MW, will be achieved through private investments facilitated by government incentives.<br />
<br />
Incentives for private investment outlined in this strategy include: long-term PPAs of 20-25 years; a feed-in tariff system; the establishment of a renewable energy fund to provide subsidies to make renewables more cost competitive; and the pre-allocation of 7600 square km of land for renewable projects.",executive,Egypt,EGY,,"Research And Development, Energy Supply",01/02/2008 | Law passed
157,The National Climate Change Strategy (NCCS),"The National Climate Change Strategy aims to enhance the financial and institutional resources to reduce economic and social impact of climate change.<br />
<br />
The Strategy is structured around three core areas of action. To tackle losses generated by climate change, the Strategy first proposes strong participation on international climate negotiations and financial compensation to people and businesses that suffered from climate related disasters. Second, the Strategy outlines that adaptation measures should address urban and coastal changes, the recovery of critical ecosystems and rural landscapes, as well as sectoral adaptation strategies. The third focal area of the NCCS is the development of a mitigation programme that is associated with the national agenda for social and economic development, including the development of a low-carbon economy.<br />
<br />
The Inter-American Development Bank is currently supporting the implementation of the NCCS.",executive,El Salvador,SLV,No,"Institutions / Administrative Arrangements, Adaptation",22/04/2013 | Law passed
158,National Environmental Policy,"The National Environmental Policy offers an ambitious framework through which the government will respond to climate change and environmental degradation. The general objective of the Policy is to reverse environÂ¬mental degradation and reduce vulnerability to climate change.<br />
<br />
The policy follows six lines of action that will be prioritised by the national government:<br />
â€¢ Restoration of damaged ecosystems and landscapes;<br />
â€¢ Integral environmental sanitation;<br />
â€¢ Integrated management of water resources;<br />
â€¢ Integration of environmental policy and priorities into the general governance of the national territory;<br />
â€¢ Environmental responsibilities and compliance; and<br />
â€¢ Adaptation and risk reduction in relation to climate change.<br />
<br />
One of the major mandates of the policy is that each ministry must incorporate environmental concerns into their own policies and participate in an inter-ministerial environmental council co-ordinated by the Ministry of Environment and Natural Resources. This council will assist in the creation of an 'action plan' that will lay out implementation plans for the tasks and responsibilities set out in the National Environmental Policy corresponding to each of the lines of action listed above.<br />
<br />
Adaptation is specifically prioritised along with reduction of environmental risks. The Policy calls for the development of a National Adaptation Plan that should include mechanisms to monitor and evaluate climate change and the risks it poses; projects to improve water management, especially in relation to flooding during the rainy season and droughts during the dry season; incorporation of adaptation into urban planning and housing designs; evaluation of epidemiological monitoring and public health systems in relation to specific health risks caused by climate change; promotion of environÂ¬mental concerns and climate change within the national education curriculum; promotion of renewable energy; funding priorities and plans to take advantage of international financing schemes.",executive,El Salvador,SLV,,"Research And Development, Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Adaptation",30/05/2012 | Law passed
159,Amendment to General Education Law (Legislative Decree No.714),"This amendment to the General Education Law requires the Ministry of Education to encourage throughout the education system: environmental sustainability, ecological risk management, and adaptation and mitigation of climate change.The amendment further requires the Ministry to adjust its educational programs consistent with this law, within 2012.",legislative,El Salvador,SLV,Mitigation and adaptation,"Institutions / Administrative Arrangements, Adaptation",09/06/2011 | Law passed
160,Amendment to the Law of Superior Education (Decree No.715),This Amendment to the Law of Superior Education redefines research in institutions of higher learning to include the systematic search and analysis of new knowledge to address the adverse effects of climate change.The Amendment further directs state and private universities to adjust their curriculums in accordance with this amendment.,legislative,El Salvador,SLV,No,"Research And Development, Institutions / Administrative Arrangements",09/06/2011 | Law passed
161,2010-2024 National Energy Policy,"The 2010-2024 National Energy Policy promotes the reduction of the use of fossil fuels in industry, transportation and households to diversify the energy mix and reduce dependence on external energy supplies, while integrating climate change mitigation and adaptation considerations. It emphasises the importance of fostering the development of unconventional renewable energy sources (such as photovoltaic, wind, and biofuels) while continuing the development of conventional renewable sources (such as hydropower and geothermal energy).<br />
<br />
The Policy is organised around six main strategy directions, which highly inter-related and to be followed in consultation with key energy sector stakeholders:<br />
1. Diversification of energy matrix and promotion of renewable energy sources<br />
2. Strengthening of the energy sector institutions and consumer protection<br />
3. Promotion of an efficiency and energy saving culture<br />
4. Extension of energy access coverage and of preferential social rates<br />
5. Technological innovation and development<br />
6. Regional energy integration",executive,El Salvador,SLV,Mitigation,"Research And Development, Energy Supply, Energy Demand",25/12/2010 | Law passed
162,Fiscal Incentives for Increased Use of Renewable Energy within the Electricity Generation Law (Law No.462),"The Law sets out to foster investments on renewable energy, including hydroelectric, geothermal, wind, solar and biomass energy. For this purpose the law conceives a series of fiscal incentives for the development of new projects of electricity generation. Tax exemption can be claimed according to the volume of energy produced, varying from 5 to 10 years, depending on the nature of the tax.<br />
<br />
The Law also exempts investors from any sort of tax on revenues directly generated from activities related to Emission Trading Schemes (ETS), subject to a certification issued by the government.<br />
<br />
One of the eligibility criteria to apply for these tax exemptions is compliance with certification and registration norms of the Clean Development Mechanism, under the framework of the Kyoto Protocol. Breaches of law are subject to penalty.<br />
<br />
The Law defines institutional competences over implementation and compliance.",legislative,El Salvador,SLV,,"Institutions / Administrative Arrangements, Energy Supply",20/12/2007 | Law passed
163,"Civil Protection, Disasters Prevention and Mitigation Law (Decree No. 777)","The Law aims to adopt mechanisms of prevention, mitigation and immediate response to natural and anthropogenic disasters (inclusive of climate change related disasters), designating a public service of civil protection to operate in these eventualities. For this purpose, the Law creates the 'Civil Protection, Disasters Prevention and Mitigation National System.'

The System is composed of two institutional bodies: the National Commission for Civil Protection and Disaster Prevention and Mitigation and the Municipal and Community Commission for Civil Protection. In addition to ensuring the implementation of the Law, the System is charged with: (1) incorporating the prospective management of disasters into development plans; (2) mapping areas of risk; (3) raising public awareness of risks from catastrophic events; and (4) designing civil protection disaster response plans.",legislative,El Salvador,SLV,,"Institutions / Administrative Arrangements, Adaptation",31/08/2005 | Law passed
164,Proclamation creating the Ministry of Environment and Forestry,"The proclamation creates the â€˜Ministry of Environment and Forestry'; and amends the designation 'Ministry of Urban Development and Construction' and 'Ministry of Water and Energy'. It considers that to expand farm land and increase forest coverage it is necessary to separate the Forest area from the Ministry of Agriculture. Therefore, the provision gives to the Ministry of Environment and Forest the powers and duties previously given to the Ministry of Agriculture with respect to matters relating to forestry issues.<br />
<br />
In its preamble, the proclamation states that industrialised nations will help Ethiopia to decarbonise its economy. It also says the EPA must be elevated to an executive level in order to promote a green economy and climate change resiliency.",executive,Ethiopia,ETH,Mitigation and adaptation,Institutions / Administrative Arrangements,04/07/2013 | Law passed
165,Climate-Resilient Green Economy (CRGE) Strategy,"The Climate-Resilient Green Economy (CRGE)'s vision is achieving middle-income status by 2025 in a climate-resilient green economy, outlining four pillars:
â€¢ Agriculture: Improving crop and livestock production practices for higher food security and farmer income while reducing emissions
â€¢ Deforestation: Reducing emissions by protecting and re-establishing forests for their economic and ecosystem services including as carbon stocks. The <a href=""https://ngd.essti.gov.et"">National Greening Action Program</a> derives from this goal.
â€¢ Power: expanding electricity generation from renewable energy for domestic and regional markets
â€¢ Transportation, industrial sectors and buildings: Leapfrogging to modern and energy efficient technologies

The strategy targets climate change mitigation and adaptation. It sets a target to limit 2030 emissions to 150 Mt CO2e (level of 2010 emissions), approximately 250 Mt CO2e less than in the business as usual scenario. It also establishes a target to increase generating capacity by 25,000MW by 2030 - hydro 22,000MW, geothermal 1,000MW and wind 2,000MW. There are programmes to replace wood fuel for domestic use with less polluting fuels, such as biogas. There are plans to distribute 9m stoves by 2015 and 34m by 2030.

The initiative establishes a national financial mechanism called the 'CRGE Facility' to mobilise, access, sequence and blend domestic and international, public and private sources of finance to support the institutional building and implementation of the strategy.

The CRGE initially relies on existing institutions, notably the Environmental Protection Authority (which in 2013 was replaced by the Ministry of Environment and Forest), the Ethiopian Development Research Institute, six ministries, and several government agencies. Subsequent phases will strengthen institutions to implement the strategy.",executive,Ethiopia,ETH,,"Transportation, Redd+ And Lulucf, Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Adaptation",01/09/2011 | Law passed
166,Ethiopian Programme of Adaptation to Climate Change (EPACC),"Summary The EPACC calls for the mainstreaming of climate change into decision-making at a national level and emphasises planning and implementation monitoring. It identifies 20 climate change risks, mainly in the following areas: health risks (human and animal); agriculture production decline; land degradation; water shortages; biodiversity; waste; displacement; distributive justice. The EPACC also identifies institutions responsible for mitigating these risks. Specific adaptation objectives include:<br />
â€¢ Reducing impacts of droughts by cloud seeding to induce rain<br />
â€¢ Establishing building and construction codes that ensure structures withstand extreme weather events<br />
â€¢ Storing food and feed in good years for use in bad years<br />
â€¢ Ensuring transportation access to disaster prone areas<br />
â€¢ Developing insurance schemes for weather damage compensation<br />
â€¢ Organising local communities for quick response to extreme weather events<br />
â€¢ Preparing to cater for refugees driven out of their homes by climate change<br />
â€¢ Mapping and delineating areas likely to suffer from climate change and extreme weather events<br />
â€¢ Developing an accessible information network on climate change<br />
â€¢ Developing an early warning system to alert people of impending extreme weather events",executive,Ethiopia,ETH,,Adaptation,25/12/2010 | Law passed
167,Proclamation to provide for the establishment of the Disaster Prevention and Preparedness Fund and its administration,"<div>The proclamation establishes a disaster management fund, to maintain a readily available cash reserve to combat disasters, and to assist the implementation of Employment Generation Schemes (EGS) that would support the achievement of National Food Security</div>",executive,Ethiopia,ETH,,Institutions / Administrative Arrangements,25/12/2000 | Law passed |  | 
168,Environment Policy of Ethiopia,"The policy's stated goal is to 'improve and enhance the health and quality of life of all Ethiopians and to promote sustainable social and economic development through the sound management and use of natural, human-made and cultural resources and the environment as a wholeâ€¦' This is done through several sectoral policies as well as some cross-sectoral policies. One sectoral policy specifically addresses climate change and atmospheric pollution, through:<br />
â€¢ promoting a climate monitoring programme<br />
â€¢ acknowledging a commitment to mitigate emissions, even at low or even insignificant levels of contribution to global emissions<br />
â€¢ actively participating in protecting the ozone layer, as a means to reduce vulnerability of the highlands of Ethiopia<br />
â€¢ encouraging re-vegetation, monitoring grazing and rehabilitating degraded land to compensate for high biomass-fuel consumption<br />
<br />
Other sectoral policies include:<br />
â€¢ soil husbandry and sustainable agriculture<br />
â€¢ forest, woodland and tree resources<br />
â€¢ genetic, species and ecosystem biodiversity<br />
â€¢ energy resource<br />
â€¢ water resources<br />
â€¢ mineral resources<br />
â€¢ human settlement, urban environment and environmental health<br />
â€¢ control of hazardous materials and pollution from industrial waste<br />
â€¢ cultural and natural heritage",executive,Ethiopia,ETH,No,"Institutions / Administrative Arrangements, Adaptation",25/12/1997 | Law passed
169,The Electricity Proclamation (No. 86-1997),"The proclamation establishes the Ethiopian Electricity Agency (EEA) as an autonomous federal government organ (later changed to Ethiopian Energy Agency). The Agency's mandate is to regulate the operation of the energy sector on technical and economic issues - from standards, efficiency and reliability, to tariffs.",executive,Ethiopia,ETH,No,"Institutions / Administrative Arrangements, Energy Supply",25/12/1997 | Law passed
170,Disaster Prevention and Preparedness Commission Establishment Proclamation,"The proclamation establishes a federal commission to oversee the management of national human-made and natural disasters. Climate change is not mentioned specifically.<br />
<br />
The Commission was originally established as an autonomous public institution of the Federal Government, but later proclamations transferred its rights and obligations to the Ministry of Agriculture and Rural Development.",executive,Ethiopia,ETH,,"Institutions / Administrative Arrangements, Adaptation",25/12/1995 | Law passed ; 25/12/2008 | Law amended
171,Ethiopia Energy Policy,"The Policy aims to increase availability of reliable and affordable energy supplies and ensure their use in a rational and sustainable manner in order to support national development goals, mostly by increasing energy supply to meet needs by develÂ¬oping and utilising hydro-electric power, natural gas and oil exploration, and providing alternative energy sources for the household, industry, agriculture, transportation and other sectors - naming coal as the main alternative to the popular biomass.<br />
<br />
It aims to introduce energy conservation and energy saving measures in all sectors. The plan also discusses community participation, with a focus on women, and promotes legal and institutional frameworks to deal with energy issues. Transportation is mentioned briefly, with the objective of introducing conservation measures to reduce fuel consumption.",executive,Ethiopia,ETH,,"Transportation, Institutions / Administrative Arrangements, Energy Supply, Energy Demand",25/12/1994 | Law passed
172,European Energy Security Strategy,"The Commission adopted the Energy Security Strategy in response to the political crisis in Ukraine and the overall importance of a stable and abundant supply of energy.<br />
The strategy seeks to respond to the high dependence on energy imports (53% total energy consumed imported, including 88% of crude oil, 66% of natural gas, 42% of solid fuels such as coal, 95% of uranium).<br />
In the short-term, the strategy proposes launching energy security stress tests to simulate disruptions in the gas supply for the coming winter. Other emergency plans and back-up mechanisms may include:<br />
â€¢ Increasing gas stocks<br />
â€¢ Developing emergency infrastructure such as reverse flows<br />
â€¢ Reducing short-term energy demand<br />
â€¢ Switching to alternative fuels<br />
â€¢ Developing new solidarity mechanisms with international partners<br />
In addition, the strategy addresses medium and long-term security of supply. It proposes actions in five main areas, with the first two particularly relevant to energy efficiency:<br />
â€¢ Increasing energy efficiency (especially in the buildings and industry sectors) to reach the 2030 energy and climate goals; demand management through information and transparency (clear billing information, smart energy meters)<br />
â€¢ Completing the internal energy market and developing missing infrastructure links to quickly respond to supply disruptions<br />
â€¢ Increasing energy production in the EU and diversifying supplier countries and routes<br />
â€¢ Speaking with one voice in external energy policy, use the information exchange mechanism with the Commission about planned agreements with third countries which may affect security of supply<br />
â€¢ Strengthening emergency and solidarity mechanisms and protecting critical infrastructure",executive,European Union,EUR,,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand",28/05/2014 | Law passed
173,Fluorinated greenhouse gases (Regulation No. 517/2014 on fluorinated greenhouse gases and repealing Regulation (EC) No 842/2006),"The new F-Gas Regulation aims to cut by 2030 the EU's F-gas emissions by two-thirds compared with 2014 levels. These are certain fluorinated gases (HFCs, PFCs and sulphur hexafluorides), and cuts will come in particular through improving containment and monitoring of these gases, increasing recovery, and restricting their marketing and use.

From 2008, anyone producing, importing or exporting more than 100 tonnes of CO2-e of any of fluorinated GHGs must communicate the imported or exported amount produced, the applications in which they will be used including the expected emissions, and the amounts recycled, reclaimed or destroyed. A system of quotas is to be put in place starting on 1 January 2015, with values recalculated every three years from 2017.",legislative,European Union,EUR,,Institutions / Administrative Arrangements,16/04/2014 | Law passed
174,"Land Use, Land Use Change and Forestry (LULUCF) (Decision No. 529/2013/EU on accounting rules on GHG emissions and removals resulting from activities relating to LULUCF and on information concerning actions relating to those activities)","Harmonisation of accounting rules for emissions from land use, land use change and forestry. The objective is to include agriculture and forestry into European climate mitigation efforts.
This decision is a direct response to the UNFCCC decision in 2011 to revise the accounting rules for GHG emissions and removals from forests and soils. It meets international standards by maintaining the voluntary nature of accounting for draining and rewetting of wetlands, but goes beyond the UNFCCC decision by making accounting for cropland and grassland management mandatory for member states.
The new rules are intended to better recognise the efforts of farmers and forest owners to maintain carbon stored in soils and forests and to facilitate a more climate-friendly architecture (funds are available through the Common Agricultural Policy's Rural Development pillar), protecting water resources and biodiversity.
It also contains reporting requirements for Member States on their initiatives to decrease emissions from forestry and agriculture-related activities as well as increase the carbon sink.
The directive does not set targets for reducing GHG in agriculture and forestry as the accounting rules set out by this directive first need to prove to be sufficiently robust.",legislative,European Union,EUR,,"Redd+ And Lulucf, Institutions / Administrative Arrangements",08/07/2013 | Law passed
175,"Common Agricultural Policy 2014-2020 (Regulations no 1307/2013, no 1308/2013, no 1305/2013, no 1306/2013)","<div>The CAP has been reformed by strengthening its greening aspects. Climate mitigation and adaptation are explicitly among the key objectives of the CAP, which accounts for about 30% of the overall EU budget/ MFF 2014-2020. The greening measures in the CAP 2014-2020 particularly increase the carbon sink by encouraging more grassland, the protection of forest cover and address the challenges of soil quality. It makes direct payments to farmers conditional upon compliance with greening measures, which account for 30% of the overall direct payments (pillar I). These measures include crop diversification, conserving 5% (and later 7%) of areas of ecological interest and maintaining permanent grassland. 30% of the budget within the rural development programmes (pillar II) is to be dedicated to agri-environmental measures, projects related to environmentally friendly investment or innovation measures as well as to support for organic farming. It further improves agri-environmental measures via higher environmental protection targets.</div>",legislative,European Union,EUR,Mitigation and adaptation,"Redd+ And Lulucf, Institutions / Administrative Arrangements",20/12/2013 | Law passed |  | 
176,"Energy Efficiency (Directive 2012/27/EU, amending Directives 2009/125/EC and 2010/30/EU and repealing Directives 2004/8/EC and 2006/32/EC)","The Directive aims to achieve an EU-wide energy savings of 15% by 2020, which translates into no more than 1,474 Mtoe primary energy or no more than 1,078 Mtoe of final energy by 2020. With the accession of Croatia in 2013, the target was revised to 1,483 Mtoe primary energy or no more than 1,086 Mtoe of final energy. Each Member State must set an indicative national energy efficiency target, based on either primary or final energy consumption, primary or final energy savings or energy intensity.

Member States have to ensure from 1 January 2014 that 3% of the total floor area of heated and/or cooled buildings owned by their central government is renovated each year. They must establish a long-term strategy to mobilise investment in the renovation of the national stock of residential and commercial buildings, both public and private.

Member States must set up an energy efficiency obligation scheme, ensuring that obligated energy distributors and/or retail energy sales companies achieve a cumulative end-use energy savings target by 31 December 2020 at least equivalent 1.5% a year from 2014 to 2020 of the annual energy sales to final customers of all energy distributors or all retail energy sales companies by volume, averaged over the most recent 3-year period prior to 2013. They can use a bundle of flexibility measures as well as equivalent alternative measures to achieve up to 25% of the amount of the energy savings target.

Large enterprises are subject to an energy audit within 3 years of the Directive entering into force and at least every 4 years from the date of the previous energy audit.

Billing of customers based on actual consumption in order to enable final customers to regulate their own energy consumption at least once a year, and billing information to be made available at least quarterly, on request or where the consumers have opted to receive electronic billing or else twice yearly.

By 31 December 2015, Member States shall carry out and notify to the Commission a comprehensive assessment of the potential for the application of high-efficiency co-generation and efficient district heating and cooling.

<a href=""https://ec.europa.eu/energy/en/topics/energy-efficiency/energy-efficiency-directive/national-energy-efficiency-action-plans"">National Energy Efficiency Action Plans</a> shall list significant measures and actions towards primary energy saving in all sectors of the economy and Member States must report on the expected savings for 2020 and savings achieved by the time of the reporting. By 30 June 2014, the Commission will assess the progress achieved.",legislative,European Union,EUR,Mitigation and adaptation,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand",04/12/2012 | Law passed
